PersonOne,PersonTwo,EdgeType
@1,@3,cyber
@1,@7,physical
@2,@14,cyber
@2,@16,physical
@3,@5,cyber
@3,@1,physical
@4,@10,cyber
@4,@18,physical
@5,@8,cyber
@5,@3,physical
@6,@14,cyber
@6,@7,physical
@7,@9,cyber
@7,@5,physical
@8,@16,cyber
@9,@9,cyber
@3,@8,cyber
@1,@3,cyber
@2,@4,physical
@2,@18,cyber
@5,@2,physical
@6,@17,cyber
@7,@9,physical
@9,@2,cyber
@11,@1,physical
@12,@2,cyber
@12,@4,cyber
@13,@7,physical
@13,@18,cyber
@13,@19,physical
@14,@15,physical
@15,@12,physical
@16,@2,cyber
@16,@4,physical
@17,@7,cyber
@17,@16,cyber
@18,@14,physical
@18,@11,physical
@18,@4,cyber
@19,@6,cyber
@20,@9,cyber
