PostID,LikerPersonID,Timestamp
@P01,@3,0
@P02,@7,0
@P04,@3,0
@P05,@7,0
@P12,@16,0
@P13,@14,0
@P15,@14,0
@P21,@1,0
@P22,@7,0
@P23,@5,0
@P25,@7,0
@P32,@18,0
@P34,@18,0
@P35,@10,0
@P41,@3,0
@P42,@5,0
@P44,@5,0
@P45,@3,0
@P52,@7,0
@P54,@7,0
@P55,@14,0
@P61,@1,0
@P62,@3,0
@P64,@3,0
@P65,@1,0
@P71,@5,0
@P72,@3,0
@P73,@5,0
@P74,@3,0
@P75,@5,0
@P82,@9,0
@P84,@9,0
@P85,@7,0
@P93,@4,0
@P94,@18,0
@P95,@4,0
@P101,@1,0
@P102,@3,0
@P104,@3,0
@P105,@1,0
@P111,@2,0
@P112,@4,0
@P113,@2,0
@P114,@4,0
@P121,@7,0
@P122,@18,0
@P123,@7,0
@P124,@18,0
@P125,@7,0
@P131,@2,0
@P132,@6,0
@P134,@6,0
@P135,@2,0
@P141,@3,0
@P142,@7,0
@P143,@3,0
@P144,@7,0
@P145,@3,0
@P152,@8,0
@P153,@2,0
@P155,@2,0
@P161,@9,0
@P162,@7,0
@P163,@9,0
@P165,@9,0
@P171,@4,0
@P172,@10,0
@P174,@10,0
@P175,@4,0
@P181,@12,0
@P183,@12,0
@P184,@19,0
@P192,@20,0
@P194,@20,0
