UserId,PostId,TimeStamp,content
U0,P0,0,lorem ipsum
U1,P9380,44915,"Nicole, if we are going to surprise your son he must stay off Twitter and never see this public tweet until it arrives  Ive got one coming your way Please message my guy @lancepatrick with where to ship it Merry Christmas https://t.co/zAlTwC3gFv"
U1,P9379,44915,"Betty, Ive got an Xbox with your sons name on it  Please message @lancepatrick with where to send it and we will get it sent out Merry Christmas  https://t.co/82oGSAqxqN"
U1,P9378,44912, https://t.co/ykLJZnxl3L
U1,P9377,44911,London  Tickets to the 2nd show are on sale TODAY First show has SOLD OUT Get the best seats NOW at https://t.co/ENkTzstDuM #OffTheRecordTour https://t.co/50KRoi2b5d
U1,P9376,44910,8 new shows. On sale NOW Cant wait to see you all back out on the road in 2023  Find tickets on my website https://t.co/ENkTzstDuM  #OffTheRecordTour https://t.co/N4PPcyFKLO
U1,P9375,44910,"Im super excited to be hosting the #Grammys?  once again  Tune in Sunday, Feb 5th on @CBS Thank you @billboard amp @neenaroe for the cover / story  Photographer: @peterashlee Stylist: @jasonbolden Groomer: Enid Seymore Producers: Get Swayed Location: @HudsonYardsNYC https://t.co/47kl1RMLgv"
U1,P9374,44909," Its beginning to look a lot like XboxMas  Thats right, and African Santa is here to hook some teachers up with brand-new Xboxes If youre a teacher, just reply letting me know why you want one, and Ill pick 20 winners at random. Its that easy. Merry Christmas  https://t.co/gx9TDhuTa9"
U1,P9373,44907, https://t.co/Z2R9mwGYnb
U1,P9372,44907,"8 shows, just added  #OffTheRecordTour https://t.co/miY6NVNjpC"
U1,P9371,44904,@TaranaBurke Thank you for being the best teacher and funniest friend 
U1,P9370,44904,Thank you to the millions of people whove already watched my latest comedy special. And if you havent already please do check it out  https://t.co/y7NyNbTqVf
U1,P9369,44900,London  https://t.co/T8vwPiy2tn
U1,P9368,44899,@Zeets Ive been saying this to friends for months now. When did everyone become a knee slider or fist pumper Its almost like they havent unlocked the celebrations in a video game meanwhile Haaland has 5.
U1,P9367,44897,"London, UK Youve officially been added to the tour Ticket pre-sale STARTS. RIGHT. NOW Head to https://t.co/ENkTzsc26c for the pre-sale code and to get tickets before the general on-sale  #OffTheRecordTour https://t.co/sVQHVMDOg6"
U1,P9366,44897,"Looking forward to diving in, @BradSmi #ToolsAndWeapons https://t.co/h09XP3gLKr"
U1,P9365,44896,"Belgiums coach needs to call Guardiola and ask him for the controller settings he uses for Kevin De Bruyne. 

#CustomA #Formation #iWasShootingWithSquare

#CroVsBel #WorldcupQatar2022"
U1,P9364,44896,"Just Added  3rd show in Chicago, 4th show in Baltimore, and a show in Stamford, CT Ticket Pre-sale starts... NOW Get the passcode on my website. https://t.co/L7bDKHUiXq  Lets goooo #OffTheRecordTour https://t.co/ostdVuwWAE"
U1,P9363,44888, https://t.co/x2s6WyAZ1l
U1,P9362,44887, https://t.co/SqFiWxMefp
U1,P9361,44886,"Heres to the next chapter. Thanks Hollywood Reporter @THR amp @laceyvrose for the cover and story.
Ps: I promise Ill bring the outfits back next year. https://t.co/Vs5pjN8Pv5"
U1,P9360,44886,"4 shows, just added  Tickets at https://t.co/OCUM8lq7ua  https://t.co/pwfIFbFf2I"
U1,P9359,44885,Tonight. 10pm EST. @msnbc https://t.co/MWlRkrSkrT
U1,P9358,44884,"My #OffTheRecordTour officially went on sale TODAY 18 shows have sold out. 11 have been added.  I am feeling the love and want to sincerely thank everyone who has purchased a ticket.  If you havent already, you can find them on my website. https://t.co/L7bDKHUiXq https://t.co/CBb54z4kvr"
