"content","created_at","date","likeCount","media","outlinks","quoteCount","quotedTweet","replyCount","retweetCount","retweetedTweet","url","id","conversationId"
"Nicole, if we are going to surprise your son he must stay off Twitter and never see this public tweet until it arrives  Ive got one coming your way Please message my guy @lancepatrick with where to ship it Merry Christmas https://t.co/zAlTwC3gFv","Tue Dec 20 16:58:29 0000 2022","2022-12-20 16:58:2900:00","908","","https://twitter.com/Nefalcon3/status/1603146595918397440","2","https://twitter.com/Nefalcon3/status/1603146595918397440","29","23","","https://twitter.com/Trevornoah/status/1605246269198585857","1605246269198585857","1605246269198585857"
"Betty, Ive got an Xbox with your sons name on it  Please message @lancepatrick with where to send it and we will get it sent out Merry Christmas  https://t.co/82oGSAqxqN","Tue Dec 20 16:52:22 0000 2022","2022-12-20 16:52:2200:00","1383","","https://twitter.com/Serenity2326/status/1603233040058097664","2","https://twitter.com/Serenity2326/status/1603233040058097664","41","47","","https://twitter.com/Trevornoah/status/1605244730140499971","1605244730140499971","1605244730140499971"
" https://t.co/ykLJZnxl3L","Sat Dec 17 00:37:44 0000 2022","2022-12-17 00:37:4400:00","2847","","https://twitter.com/MarkRuffalo/status/1601669415224737794","4","https://twitter.com/MarkRuffalo/status/1601669415224737794","71","63","","https://twitter.com/Trevornoah/status/1603912292487335938","1603912292487335938","1603912292487335938"
"London  Tickets to the 2nd show are on sale TODAY First show has SOLD OUT Get the best seats NOW at https://t.co/ENkTzstDuM #OffTheRecordTour https://t.co/50KRoi2b5d","Fri Dec 16 10:06:15 0000 2022","2022-12-16 10:06:1500:00","668","PhotopreviewUrlhttps://pbs.twimg.com/media/FkF2Q2XEAAKi5sformatjpgnamesmall, fullUrlhttps://pbs.twimg.com/media/FkF2Q2XEAAKi5sformatjpgnamelarge, typephoto","http://TrevorNoah.com/shows","4","","36","47","","https://twitter.com/Trevornoah/status/1603692978584920064","1603692978584920064","1603692978584920064"
"8 new shows. On sale NOW Cant wait to see you all back out on the road in 2023  Find tickets on my website https://t.co/ENkTzstDuM  #OffTheRecordTour https://t.co/N4PPcyFKLO","Thu Dec 15 19:03:30 0000 2022","2022-12-15 19:03:3000:00","348","","http://TrevorNoah.com/shows, https://twitter.com/LiveNationCmdy/status/1603450265448816640","6","https://twitter.com/LiveNationCmdy/status/1603450265448816640","39","25","","https://twitter.com/Trevornoah/status/1603465791881547777","1603465791881547777","1603465791881547777"
"Im super excited to be hosting the #Grammys?  once again  Tune in Sunday, Feb 5th on @CBS Thank you @billboard amp @neenaroe for the cover / story  Photographer: @peterashlee Stylist: @jasonbolden Groomer: Enid Seymore Producers: Get Swayed Location: @HudsonYardsNYC https://t.co/47kl1RMLgv","Thu Dec 15 15:41:14 0000 2022","2022-12-15 15:41:1400:00","6049","PhotopreviewUrlhttps://pbs.twimg.com/media/FkB5WBaXkAMeItSformatjpgnamesmall, fullUrlhttps://pbs.twimg.com/media/FkB5WBaXkAMeItSformatjpgnamelarge, typephoto","","40","","129","482","","https://twitter.com/Trevornoah/status/1603414890298884099","1603414890298884099","1603414890298884099"
" Its beginning to look a lot like XboxMas  Thats right, and African Santa is here to hook some teachers up with brand-new Xboxes If youre a teacher, just reply letting me know why you want one, and Ill pick 20 winners at random. Its that easy. Merry Christmas  https://t.co/gx9TDhuTa9","Wed Dec 14 15:00:02 0000 2022","2022-12-14 15:00:0200:00","2377","VideothumbnailUrlhttps://pbs.twimg.com/media/Fj8ZyjJVQAEFySh.jpg, variantsVideoVariantcontentTypevideo/mp4, urlhttps://video.twimg.com/amplifyvideo/1603027632114716672/vid/320x568/cQuE2lFilGAcethZ.mp4tag16, bitrate632000, VideoVariantcontentTypevideo/mp4, urlhttps://video.twimg.com/amplifyvideo/1603027632114716672/vid/720x1280/6FE75EiV2WvTJvyp.mp4tag16, bitrate2176000, VideoVariantcontentTypevideo/mp4, urlhttps://video.twimg.com/amplifyvideo/1603027632114716672/vid/1080x1920/uMzZtvEwhlUTw-DP.mp4tag16, bitrate10368000, VideoVariantcontentTypevideo/mp4, urlhttps://video.twimg.com/amplifyvideo/1603027632114716672/vid/480x852/u7-Ovm9vrMliE4UW.mp4tag16, bitrate950000, VideoVariantcontentTypeapplication/x-mpegURL, urlhttps://video.twimg.com/amplifyvideo/1603027632114716672/pl/XxKrL8KBjBWQPknk.m3u8tag16containerfmp4, bitrateNone, duration83.9, typevideo","","35","","520","286","","https://twitter.com/Trevornoah/status/1603042134180986880","1603042134180986880","1603042134180986880"
" https://t.co/Z2R9mwGYnb","Mon Dec 12 23:34:33 0000 2022","2022-12-12 23:34:3300:00","7839","","https://twitter.com/thedailyshow/status/1601253595609202694","38","https://twitter.com/TheDailyShow/status/1601253595609202694","203","521","","https://twitter.com/Trevornoah/status/1602446839248191489","1602446839248191489","1602446839248191489"
"8 shows, just added  #OffTheRecordTour https://t.co/miY6NVNjpC","Mon Dec 12 22:01:01 0000 2022","2022-12-12 22:01:0100:00","741","","https://twitter.com/LiveNationCmdy/status/1602327022034104320","5","https://twitter.com/LiveNationCmdy/status/1602327022034104320","79","52","","https://twitter.com/Trevornoah/status/1602423302814932994","1602423302814932994","1602423302814932994"
"@TaranaBurke Thank you for being the best teacher and funniest friend ","Fri Dec 09 14:53:33 0000 2022","2022-12-09 14:53:3300:00","54","","","0","","4","0","","https://twitter.com/Trevornoah/status/1601228564296126464","1601228564296126464","1601224565195407360"
"Thank you to the millions of people whove already watched my latest comedy special. And if you havent already please do check it out  https://t.co/y7NyNbTqVf","Fri Dec 09 14:49:29 0000 2022","2022-12-09 14:49:2900:00","9169","","https://twitter.com/NetflixIsAJoke/status/1601056542974832640","50","https://twitter.com/NetflixIsAJoke/status/1601056542974832640","400","536","","https://twitter.com/Trevornoah/status/1601227540659548160","1601227540659548160","1601227540659548160"
"London  https://t.co/T8vwPiy2tn","Mon Dec 05 15:27:34 0000 2022","2022-12-05 15:27:3400:00","538","","https://twitter.com/AComicSoul/status/1599785168327233536","4","https://twitter.com/AComicSoul/status/1599785168327233536","77","35","","https://twitter.com/Trevornoah/status/1599787573479514113","1599787573479514113","1599787573479514113"
