UserId,PostId,TimeStamp,content
U1,P1,44782,"The #US will provide an additional 4.5 billion to #Ukraines government, bringing its total budgetary support since #Russias February invasion to 8.5 billion, the US Agency for International Development says.

https://t.co/dWompQglkl"
U807,P7,44782,"Fick dich, Putin
German

#RussiaWarCrimes #FuckPutin #StopRussianAggression #StandWithUkraine"
U8,P8,44782,"@japantimes Assassination of #ShinzoAbe by #CCP #China
#Taiwan #ChinaJapanFact #ChinaIsTerrorist #BoycottChina
https://t.co/tWv0hj4iIM"
U10,P10,44782,Russia forced to bus in crowd to fake mass support for illegal Zaporizhzhia referendum https://t.co/B9wCuejYfP - source :  #WarInUkraine #StandWithUkraine
U10,P11,44782,US to provide 4.5 billion to fund Ukraines budget. https://t.co/i5gQkWIlBX - source :  #WarInUkraine #StandWithUkraine
U13,P14,44782,retrospective 011 March 11 russian airborne troops units on the way to mission area in Kyiv region #ukraine #russia #china #estonia #lithuania #latvia #poland #sweden #finland #europe #germany #russiaukrainewar #us https://t.co/z5nylKElhG
U14,P15,44782,"The only way we can survive #Bidens dictatorial reign of darkness, is to remain faithful to #Trumps #MAGA teachings, the Constitution amp the teachings of #Jesus. #MAGAForever"
U807,P17,44782," ,   
Korean

#IStandWithUkraine #RussiaInvadedUkraine #Ukraine #UkraineUnderAttack"
U8,P18,44782,"@MillenniumTwain @FinancialTimes Assassination of #ShinzoAbe by #CCP #China
#Taiwan #ChinaJapanFact #ChinaIsTerrorist #BoycottChina
https://t.co/tWv0hj4iIM"
U17,P20,44782,"@ToddKolod @POBua @GeoffYoung4KY Dont underestimate Sanders. Cortez, Omar, Bush, Tlaib and the other #DSA members. They voted against sanctioning russia and 2 were just re-elected. Plenty of Kremlin money to go around, and plenty of populists in Kentucky. #SlavaUkrani #StandWithUkraine"
U8,P21,44782,"@mimoritakefumi @FinancialTimes Assassination of #ShinzoAbe by #CCP #China
#Taiwan #ChinaJapanFact #ChinaIsTerrorist #BoycottChina
https://t.co/tWv0hj4iIM"
U18,P23,44782,We are so grateful  to all our supporters for standing with #Ukraine  https://t.co/1OXf5poQun
U20,P25,44782,"
Past few months #Africa was visited by:

Macron of #France
Scholz of #Germany
Wang Yi of #China
Lavrov of #Russia
Blinken of #USA

Unfortunately, Africa is weak to advance its interests. 

Otherwise, this is the RIGHT time to get MOST out of West/East


#Eritrea"
U21,P26,44782,DAY 2487: 8-9-22: #WHYNOT #WHY #THE #FUCK #NOT #WHY #NOTTHEUKRAINE #INVADE #WHY #NOT #TAIWAN #INVADE #WHY #NOTWITHIMPUNITY #INVADE #WHYNOT #TAIWAN  #INVADE #WHYNOTTHE #EARTH  #INVADE #TIS #CHINASTURN  #TO #INVADE #TAIPEI #IS #IN #CHINA https://t.co/38DG8Cy4f4
U8,P27,44782,"@japanantoine @NikkeiAsia Assassination of #ShinzoAbe by #CCP #China
#Taiwan #ChinaJapanFact #ChinaIsTerrorist #BoycottChina
https://t.co/tWv0hj4iIM"
U807,P29,44782,"Pojdi, Putin
Slovenian

#IStandWithUkraine #StandWithUkraine #RussiaWarCrimes #StopRussianAggression"
U23,P30,44782,"#Russian markets rebound as #Moscow Exchange delays return of some foreign investors  https://t.co/iiNdXoE2aJ  #Russias #Stock market fell 3 on Friday after the exchange said it would let clients from  friendly  jurisdictions, those which have not dep https://t.co/eR3spkMHvq"
U24,P31,44782,"@KhalilovaGulsum We removed the tweet based on the knowledge of the unconfirmed source. Everyone should know that the world is not without a place and Gods people are not without orphans.
As Anatolian Turkish, our motto is: Peace at home, peace in the world. #Ukraine"
U27,P34,44782,"Na nagraniu #UAV wida jak siy ukraiskie przeprowadzaj zwiad, a nastpnie ostrzeliwuj rosyjski magazyn amunicji w obwodzie charkowskim.
#Charkw #Kharkiv #Ukraine
#UnitedWithUkraine #UkraineUnderAttak #UkraineWillWin 
#russianlosses 
#RussiaIsATerroristState 
@DefenceU https://t.co/Ca0HU7adJL"
U29,P37,44782," Und ewig grt das Murmeltier...

Wie oft muten wir solche Expertisen bereits ber uns ergehen lassen

#Ukraine #Russland #Z4Q https://t.co/nWTpybqnta"
U8,P38,44782,"@Furansunokoe @japantimes Assassination of #ShinzoAbe by #CCP #China
#Taiwan #ChinaJapanFact #ChinaIsTerrorist #BoycottChina
https://t.co/tWv0hj4iIM"
U8,P40,44782,"@takachin87 @japantimes Assassination of #ShinzoAbe by #CCP #China
#Taiwan #ChinaJapanFact #ChinaIsTerrorist #BoycottChina
https://t.co/tWv0hj3KTe"
