"PersonID","PostID","Timestamp","PostContent"
"@1","p3588","45604","There are fake, untrue, and probably illegal rumors and/or statements made by, perhaps, market manipulators or short sellers, that I am interested in selling shares of Truth. THOSE RUMORS OR STATEMENTS ARE FALSE. I HAVE NO INTENTION OF SELLING I hereby request that the people who have set off these fake rumors or statements, and who may have done so in the past, be immediately investigated by the appropriate authorities. Truth is an important part of our historic win, and I deeply believe in it. Thank you for your attention to this matter. MAKE AMERICA GREAT AGAIN"
"@1","p3587","45602","California - 1 More HourPolls are open until 8:00 PM local. If you are in line by the cutoff they must let you vote.GO NOW and STAY IN LINEFind your voting location at the link below https://swampthevoteusa.com/"
"@1","p3586","45602","Nevada - 1 More HourPolls are open until 7:00 PM local.If you are in line by the cutoff they must let you vote.GO NOW and STAY IN LINEFind your voting location at the link below https://swampthevoteusa.com/"
"@1","p3585","45602","Montana - 1 More HourPolls are open until 8:00 PM local.If you are in line by the cutoff they must let you vote.GO NOW and STAY IN LINEFind your voting location at the link below https://swampthevoteusa.com/"
"@1","p3584","45602","HI REPUBLICANS IF YOURE IN LINESTAY IN LINE"
"@1","p3583","45602","GET OUT AND VOTESTILL TIME LEFT"
"@1","p3582","45602","Arizona - 1 More HourPolls are open until 7:00 PM local.If you are in line by the cutoff they must let you vote.GO NOW and STAY IN LINEFind your voting location at the link below https://swampthevoteusa.com/"
"@1","p3581","45602","Michigan - 1 More HourPolls are open until 8:00 PM local.If you are in line by the cutoff they must let you vote.GO NOW and STAY IN LINEFind your voting location at the link below https://swampthevoteusa.com/"
"@1","p3580","45602","Wisconsin - 1 More HourPolls are open until 8:00 PM local.If you are in line by the cutoff they must let you vote.GO NOW and STAY IN LINEFind your voting location at the link below https://swampthevoteusa.com/"
"@1","p3579","45602","Iowa - 1 More HourPolls are open until 8:00 PM local.If you are in line by the cutoff they must let you vote.GO NOW and STAY IN LINEFind your voting location at the link below https://swampthevoteusa.com/"
"@1","p3578","45602","New York - 1 More HourPolls are open until 9:00 PM local.If you are in line by the cutoff they must let you vote.GO NOW and STAY IN LINEFind your voting location at the link below https://swampthevoteusa.com/"
"@1","p3577","45602","HI REPUBLICANS IF YOURE IN LINESTAY IN LINE"
"@1","p3576","45602","Pennsylvania - 1 More HourPolls are open until 8:00 PM local.Open until 10:00 PM in Cambria County ONLY.If you are in line by the cutoff they must let you vote.GO NOW and STAY IN LINEFind your voting location at the link belowhttps://swampthevoteusa.com/"
"@1","p3575","45602","Maine - 1 More HourPolls are open until 8:00 PM local.If you are in line by the cutoff they must let you vote.Maine has Ranked Choice Voting.Vote Trump First Choice every round GO NOW and STAY IN LINEFind your voting location at the link belowhttps://swampthevoteusa.com/"
"@1","p3574","45602","GET OUT AND VOTESTILL TIME LEFT"
"@1","p3573","45602","Philadelphia and Detroit Heavy Law Enforcement is there"
"@1","p3572","45602","A lot of talk about massive CHEATING in Philadelphia. Law Enforcement coming"
"@1","p3571","45602","STAY IN LINETOO BIG TO RIG https://protectthevote.com/"
"@1","p3570","45602","Republicans: We are doing GREAT Stay on Line. Do not let them move you. STAY ON LINE AND VOTE"
"@1","p3568","45602","I just learned of the passing of legendary entrepreneur and political genius Bernie Marcus. He was my supporter from the beginning and was always there when I needed help or advice. He strongly endorsed me for this election, as well as my other runs, and I will never forget him for that. He was an extraordinary man and I look forward to powerfully honoring him in the future. Warmest condolences to his wonderful family, and all of his many friends"
"@1","p3567","45602","Your vote will lead us to Greatness.Your vote will unleash a new GOLDEN AGEYour vote will MAKE AMERICA GREAT AGAIN GREATER THAN EVER BEFOREVOTE TRUMP"
"@1","p3565","45602","Republicans: We are doing GREAT Stay on Line. Do not let them move you. STAY ON LINE AND VOTE"
"@1","p3564","45601","It is now officially ELECTION DAY This will be the most important day in American History.Voter enthusiasm is THROUGH THE ROOF because people want to Make America Great Again. That means lines are going to be longI need you to deliver your vote no matter how long it takes. STAY IN LINE The Radical Communist Democrats want you to pack up and go home. Together, we are going to have a tremendous victory and MAKE AMERICA GREAT AGAIN"
"@1","p3563","45601","A GREAT DAY IN NORTH CAROLINA, PENNSYLVANIA, AND MICHIGANTHANK YOU ITS TIME TO GET OUT AND VOTESO TOGETHER, WE CAN MAKE AMERICA GREAT AGAIN https://swampthevoteusa.com/"
"@1","p3562","45601","Thank you Megyn Kelly, a great honor Megyn Kelly speaks at President Trumps rally in Pittsburgh, Pennsylvania:He got mocked by the Left for saying hell be a protector of women. He WILL be a protector of women  and its why Im voting for him."
"@1","p3561","45601","A great honor, from a great fighter. Thank you"
"@1","p3560","45601","Roberto Clemente, the Pride of Puerto Rico, was one of the greatest baseball players in history, and also a tremendous humanitarian. He gave his life helping others, dying in a plane crash while delivering relief supplies to earthquake victims on New Years Eve 1972. He remains a legend in Puerto Rico and in Pittsburgh. It was my pleasure to talk about his legacy with his oldest son, Roberto Jr., at our rally in Pittsburgh. Its wonderful to have his support."
