PersonID,PostID,Timestamp,PostContent
D1,PP1,0,"@RepRaskin Mr. Fauci is a lying RAT that ruined thousands of lives of children. He should be in jail along with most of the Democrat/Communists that are destroying our country on purpose.  We’re going to do our best to make that happen Jamie!  So your wife helped unmask Gen Flynn, 😮"
D2,PP2,0,@JDunlap1974 When a democrat or lefty accuses someone of being anything like this it is usually to cover up the fact that they are already guilty of the same.
D3,PP3,0,"Mayor = Democrat 🔹 12/15 Alderman = Democrats 🔹 9/9 Board of Ed Members = Democrats🔹 27/27 State Reps = Democrats 🔹  So that’s why the city of #Nashua does anything, because they’re a bunch of DNC water carrying, woke, progressive, ideological zealots.   Nashua has yet to"
D4,PP4,0,@foxnewspolitics You knew it was a democrat! All the dead vote democrat also. Write in ballots
D5,PP5,0,Biden is a normie democrat &amp; represents the base. Every position he took is what the dem base wanted at the time   The dem party has shifted leftwards over literal decades and now Biden is again representing his voters &amp; he is the most progressive president we’ve ever had.
D6,PP6,0,"@billmaher If a Democrat flew an American flag, would it be okay with their fellow Democrats?"
D7,PP7,0,"@w_terrence I had an account closed for suggesting something like this about a democrat. Bet with this being about Trump, @X will give @AntiSCUMp4ever a pass."
D8,PP8,0,@jeffpearlman Future Democrat voters
D9,PP9,0,"@313gardens @MSNBC Please, I worked on Al Gore’s campaign. I was a Democrat until 2016. Sorry my party left me.  You turned into a bunch of communist degenerates with your hand out for others people money   The Democratic Party was a blue-collar party not a bunch of spoiled elitist Marxists"
D10,PP10,0,@AshaRangappa_ Liberal Democrat Scum... “We need ALL Judges to be as CORRUPT as merchan!!!!”
D11,PP11,0,"If you’re a Democrat, hypocrisy is a minor thing as long as you protect your tyrants and their families."
D12,PP12,0,"Democrat groomers, the self respecting LGB community doesn't support this."
D13,PP13,0,@Fernand46357857 incorrect.  remove landlords and replace with fascist globalist leftist companies like blackrock that worked with your democrat politicians.  most landlords are not rich. being a landlord is one of the dumbest money making strategies out there.
D14,PP14,0,@EndWokeness I guarantee most of these angry people have been voting straight democrat for decades. Live in the filth you created you hypocritical liberal massholes.
D15,PP15,0,@MaxEvansUMP cameras are dangerous on stairs and against the rules.  Moose out front at the gate shoulda told ja. Washington DC is a company town... and hostile to anyone not a fascist Democrat.
D16,PP16,0,"@acnewsitics Meanwhile Jack Smith was illegally appointed by Merrick Garland who is a political hack for the Democrat Party. Trump is a convicted felon in NY because the jury, judge, prosecutors and AG are Democrats. I hope you’re getting ready to protest on Nov 5th. Hoping for a few"
D17,PP17,0,@EndWokeness They all love Democrat policies until they affect their lives.
D18,PP18,0,"@gunpolicy We need common sense democrat control in the US.   Democrats can be violent and so we need to regulate, monitor and restrict their activities in order to Protect Our Democracy."
D19,PP19,0,@cturnbull1968 @TexasGOP @_johnnymaga @LaraLeaTrump @RNCResearch @LauraLoomer @Timcast Typical democrat talking out of both sides of his mouth
D20,PP20,0,"@JoeBiden Joe Biden has sunk to reprehensible status,  and anyone who is a Democrat is guilty by association."
D21,PP21,0,@KatKanada_TM It’s on people there will be some kind of black and white revolution in the near future. Very unfortunate. The Democrat’s did their job to devide .
D22,PP22,0,@urca1234 @VigilantFox Both are fine if your a Democrat
D23,PP23,0,"@acnewsitics He is confident his inside connections will save his hide! Remember, not one democrat has been charged in the last 5 years no matter how bad the circumstances were!"
D24,PP24,0,I am still doubtful. I think the Democrats are trying to get rid of their Democrat President.
D25,PP25,0,"@pvtjokerus There’s also no such think as Montana Democrat, they’re the same people as San Francisco they just keep in toned down until they have all the power"
D26,PP26,0,"Ah yes another Democrat talking point taken out of context.   If you vote Democrat, it’s not because you agree with their policy, you just simply don’t like the Orange Man!   Stupidity. Everywhere"
D27,PP27,0,@JoeBiden Interesting Biden you’re for the Cell# in buying and raping little children. Anybody that votes for a Democrat votes for them to be raped and sold
D28,PP28,0,@democracyyay @sean_h25 @richchassler @krassenstein @BurtMaclin_FBI I left the Democrat party over this sh1t. I'm informed&amp; I didn't need anyone to tell me on any news/SM. I saw it all in the things that were happening around the world. Ask any other country what they think of the Democrat party &amp;see what you get🤯Pay attention Joe w/no photo🤔
D29,PP29,0,@IanJaeger29 I know one thing he would be the best for a country Donald J Trump. I don’t care about Democrat. I don’t care about Republicans. I’m worried about our country and he would be the best one to run it.
D30,PP30,0,@CaptMarkKelly @JoeBiden Do you support abortion up to the moment of birth? That would be murder of course. It's now up to the people to decide. That's a good thing. Americans are not concerned about being able to end the life of babies. Their concerned about the tyranny under Democrat rule.
D31,PP31,0,"@Morning_Joe @morningmika Hyperbole  Empty rethoric  Nonsense  Lies Lies Lies  Q.  If the Democrat party direction for the country is so great, why not promote and campaign on that - instead of lying, promoting hatred, &amp; demonizing political opponents? https://t.co/9zfW8DXgDO"
D32,PP32,0,@AngelaBelcamino Vomit 🤮
D33,PP33,0,@escapefromNY17 @EdKrassen @MrStevenSteele He lies about everything the Democratic way.....it’s ok people that voted Democrat are now voting Republican!! Trump will be back in office!!
D34,PP34,0,Congrats to New York voters for bringing this on themselves. Keep voting for #Democrat state legislators and for our soft-on-crime @GovKathyHochul. https://t.co/k1bzU80tzg
D35,PP35,0,"@antiwarmisfit @HawaiiHannah808 @ImaCruzn You're right.  I'm the great wall of China when it comes to not wanting a Democrat on my party ticket.  Socially liberal white women are a scourge to Western civilization, as evidenced in this debate."
