Id,Name,Gender,Age
R1,Geraldine Speer,,
R2,Predato- Trump,,
R3,coolguy,,
R4,Ron cohen,,
R5,chris w,,
R6,One Percent Takers,,
R7,??vpn????????????vpn?????ins???????vpn??????,,
R8,Michelle,,
R9,Tom Suozzi,,
R10,TD Opines,,
R11,Danny ????,,
R12,C DOT R,,
R13,Geof Hamlin,,
R14,Tim Byers,,
R15,Thomas Shea,,
R16,Gary Greenberg,,
R17,Vito,,
R18,Dr. X Nova,,
R19,JJK,,
R20,eu4ria1,,
R21,@googeliart.bsky.social ???,,
R22,Rocky Road,,
R23,LA,,
R24,Diana O,,
R25,The Vin Man,,
R26,The Matt McNeil Show,,
R27,Nolan Benedict,,
R28,Tango,,
R29,IncognitoNewt,,
R30,Doc Dayz,,
R31,"Vote Biden to save our democracy,our Freedoms",,
R32,John Martinlives,,
R33,Robin Messing,,
R34,don roberts,,
R35,D_J mellofello,,
R36,James Barnfield,,
R37,????Joe Pugh????,,
R38,????Denise????,,
R39,Johnny Freedom,,
R40,DAPPER DON DHARSHI • K A M I L •,,
R41,#TheResistance,,
R42,Puppy,,
R43,Dan Schaefer,,
R44,Biggest,,
R45,Bo Snerdley,,
R46,BarrosLuco,,
R47,New York LI Republican ????,,
R48,robjceo,,
R49,FloridaSandy,,
R50,Daisy Vance,,
R51,Yourconscience,,
R52,Miketvee13,,
R53,?? ? ? NewsCat ?????NO DMs? ? ? ?,,
R54,Sanity Lane,,
R55,w.o.,,
R56,andrew March,,
R57,???????? ?????? ?? ?? ??,,
R58,Former??Republican,,
R59,Satsuki Hime???????????????????,,
R60,Robert Howell ??,,
R61,Bryan Castillo #DC51st,,
R62,Amien,,
R63,paul worth,,
R64,Irving Pine,,
R65,superdavebeastula,,
R66,Oregon Republican ????,,
R67,drainpipe,,
R68,Doc1323,,
R69,Tom Odell,,
R70,305Jits,,
R71,VERTEDERO,,
R72,John,,
R73,Mr. Deplorevole Disgraziato.,,
R74,Curly Bill Brocius,,
R75,Freedom of Speech ??,,
R76,EnlightenedPaddy,,
R77,American Outlaw ????,,
R78,KylieB,,
R79,The Drunk Republican,,
R80,Senga,,
R81,Greg,,
R82,Wondermentalista ????,,
R83,Michelle4Flirt,,
R84,nuked350,,
R85,Byron Perkins,,
R86,"Erick Hayden, CEO",,
R87,ShawneesMan,,
R88,JohnCT/FL,,
R89,e,,
