"UserId","PostId","TimeStamp","Content"
"D1","P1","0","@RepJeffries yeah well as long as you wont come out and support #BidenHarris2024 100 we will see #project2025 starting jan 20 2025. get your act together dems and start supporting biden."
"D2","P2","0","@TeamTrump the Democratic Presidential nominee will be Joe Biden and the Vice Presidential nominee will be Kamala Harris. Seems like someone is scared of the VP and cant handle the heat. #BidenHarris2024 https://t.co/R5XQLJy78M"
"D3","P3","0","@loveeducationjs @elonmusk Joe Biden did all of that. It didnt happen on its own.
#BidenHarris2024"
"D4","P4","0","@LupusWarrior69 @GOP #magaIsATerroristOrg and must be stopped by voting #BidenHarris2024ToProtectDemocracy"
"D5","P5","0","President Trump got you down #Biden2024 #BidenHarris2024 #Trump #Trump2024 #TrumpVance2024 https://t.co/0Xo1Msgb4Y"
"D6","P6","0","Dear @hakeemjeffries @RepJeffries @AdamSchiff @RepAdamSchiff @SenSchumer @RepRaskin @jamieraskin all youre accomplishing with your Biden should drop out BS is passing off your own voters. Keep going against what #WeThePeople want amp see where that gets you. #BidenHarris2024"
"D7","P7","0","To Mr Owen Prague.This pic was 4 years ago when I had cut my own long hair amp it was a disaster. But short hair, long hair or bald hopefully not I am the same girl that supports Democracy amp want to support @POTUS Joe Biden this November. #Biden2024 #BidenHarris2024"
"D8","P8","0","@BGThompsonMS #BidenHarrisToSaveDemocracy #Biden2024 
#BidenHarris2024"
"D9","P9","0","@RepAdamSchiff Support Biden now. Im sick of this disunity. People like you will be the reason Trump gets elected. You are hurting every day Democrat voters. #BidenHarris2024"
"D10","P10","0","@mmpadellan #Biden2024 
#BidenHarris2024 
#ThankYouPresidentBiden https://t.co/xGU6mSMv5R"
"D11","P11","0","Whats the overlap with those whove been demanding his removal over the war crimes being committed by Netanyahu and Israel and who think President Biden can just snap his fingers and end the war #UniteBlue #VoteBlue #BidenHarris2024"
"D12","P12","0","Democrats should unite in support of Biden, who has been the most successful President since Franklin Delano Roosevelt. #BidenHarris2024 #BidenIsAGreatPresident"
"D1","P13","0","@hakeemjeffries hey. come out and support #BidenHarris2024 100 publicly. tell schiff to support biden in public too--he could actually lose the senate race because of his comments. you want that you want to lose california get your act together, dems. https://t.co/Xhjp5WF9Fi"
"D14","P14","0","Stop it I know Joes going to win in #Jovember We got this I feel it in my bones @AdamSchiff you are amazing But sir you are wrong to ask #BIDEN to step down Take that suit off, put on some #timerlandboots and get to work in these streets#BidenHarris2024 "
"D15","P15","0","@SpeakerPelosi so disappointed in you  

sorry we do have to part ways 
and if you are supporting #BidenHarris2024 

then you better get on tv - amp use that mouth to defend President Biden and formally support him
the he is wrong with you 

#USDemocracy https://t.co/ce4fUnQ96y"
"D16","P16","0","@RepAdamSchiff You are disenfranchising millions of Americans. We would like an explanation from YOU why you want Biden to drop out. 
A write in campaign effort for @RepKatiePorter is about to take place and you will sent home with your packed bags. 
#BidenHarris2024"
"D17","P17","0","@jaketapper Everyone misspeaks.  Jeff Zeleny just did it on your show at 4:45 pm E.  He said moderate Republicans when he should have said moderate Democrats.  Stuff like this happens all the time with people. Dont pick on Biden so much for misspeaking. #BidenHarris2024"
"D18","P18","0","@jdawsey1 Its Biden. Stop Josh. #BidenHarris2024"
"D19","P19","0","@marlene4719 Just read @voguemagazine article by Maya Singer on Dr. Jill Biden. Each campaign is unique. But this one, the urgency is different. We know what is at stake . Damn right we do. 
#BidenHarris2024"
"D20","P20","0","@MichelleKinney Democrats need to stand together and get on message.  I am so disappointed in these Democratic leaders calling for Biden to step down now  Where was the planning 2 years ago  Who wouldve replaced him  Its entirely too late for this bullsht Get on message
#BidenHarris2024"
"D21","P21","0","@politicalplayer If they try to step over Harris -- they lose the Black vote. They lose the Black vote -- they lose the election. #BidenHarris2024  Ridin with Biden."
"D22","P22","0","@JoeBiden VOTERS support Joe Biden
#BidenHarris2024"
"D23","P23","0","Im willing to bet at 8pm on Thursday July 18th Biden will step down and they will swear Harris in at 10pm just to take Trump off TV.  #BidenHarris2024 #Trump"
"D24","P24","0","@libsoftiktok #Biden #BidenHarris2024 #BidenBorderBloodbath"
"D25","P25","0","@JenniferNYC Theres no denying it #BidenDelivers 
#BidenHarris2024 "
"D26","P26","0","Go Joe Biden #BidenHarris2024"
"D27","P27","0","This is correct, @NateSilver538 is the last honest mainstream Dem, and the only one not making money from massaging Bidens ass. #Biden #Trump #BidenHarris2024"
"D28","P28","0","@MendiolaGrandma If people like @RepAdamSchiff and @SpeakerPelosi dont want to help, they need to get the hell out of the way.  Bidens our candidate and he can absolutely win this but not with members of his own party undermining him every chance they get #BidenHarris2024"
"D29","P29","0","#Biden2024 #LetsGoJo #BidenHarris2024"
"D30","P30","0","@CrazyFenaker @MayoIsSpicyy Call them both and tell them how much support Biden/Harris has and to stop this bull 202-225-4176 Id @RepAdamSchiff 
I havent looked up @TeamPelosi  yet. #BidenHarris2024"
"D31","P31","0","Why are so many Democrats determined to remove Biden and make sure Trump wins...WTF

You can go shtupp yourself, Adam Schiff @AdamSchiff  Youre the one who should be replaced  with Katie Porter @katieporteroc

#JoeBiden #BidenHarris2024 #AdamSchiff #California #DonaldTrump https://t.co/adteQ2I6Rz"
"D27","P32","0","This is correct. #Trump #Biden #BidenHarris2024"
"D33","P33","0","Hey @CNN @MSNBC etc. If you spent 1/2 the time on trumps felonies, assault conviction, credible assault allegations of even underage girls, epstein connections, and the like that you spend on Bidens age, youd have enough material for the rest of the year. #BidenHarris2024"
"D34","P34","0","I fear @TheDemocrats have been infiltrated. 

The loudest voices saying Biden must drop out do nothing but hurt the nations chance of avoiding fascism. 

Do you want fascism 
Bc THIS is how you get fascism.

Stop Fing around. 
There is no time left for this.

#BidenHarris2024"
"D35","P35","0","@ezraklein @tylercowen Biden has done a great job #BidenHarris2024 https://t.co/quVUIb9pBY"
"D36","P36","0","@RepAdamSchiff @TheDemocrats 

Seriously Biden amp Harris CAN win and continue to serveget on board and move.We have no  time for fun and games. We must be united and the questions from within the party does not breed confidence.
#BidenHarris2024 #BidenHarrisToSaveDemocracy"
"D37","P37","0","#DonTheCon is a traitor and the GOP is complicit. #VoteOutEveryRepublican #BidenHarris2024"
"D38","P38","0","#BidenHarris2024 #BidenHarrisToSaveDemocracy #BidenHarris2024ToSaveDemocracy #BidenHarris2024ToProtectDemocracy #Biden2024 #democratsdelivergoodjobs #DemocracyIsOnTheBallot #TrumpLies 


The American people deserve accountability for this. https://t.co/muN7Sx5PY6"
"D39","P39","0","#RNC #RepublicanNationalConvention #RNC2024 #RNCConvention #BidenHarris2024 CNN amp MSNBC are getting on my last nerve saying Biden isnt doing well in this state or that state. Polls dont vote, people vote. He beat Trump in 20 and will again. We will win"
"D40","P40","0","@WordswithSteph @DMLaBar A terrifying and disturbing ticket Democrats MUST rise up like never before and VOTE for Biden/Harris or our democracy is doomed. We MUST stand UNITED with our @POTUS @VP Harris. There is NO place for a convicted felon. #BidenHarris2024 "
"D41","P41","0","@scottiev @thejackhopkins The system is no longer setup to all ow for this. The states have deadlines for ballot changes. Most have passed already and all will have passed by the convention. Plus the GOP already has lawsuits prepared to challenge any attempts to change name on ballot. #BidenHarris2024"
"D42","P42","0","@ezraklein @tylercowen Polls do not mean Squat. 4 out of 5 Americans    so you personally polled 342 million people and approx 274 million people dont trust Pres Biden The manpower you must have at your fingertips  ROEVEMBER. You have no idea whats coming. #BIDENHARRIS2024"
"D37","P43","0","@davidgobaud @LinaHidalgoTX Naw. Its like muscle memory for Biden. Its why experience is so valuable  #BidenHarris2024"
"D44","P44","0","Better late than never I suppose, but the fact that democrat pigs would inflict a geriatric crook on the world for years should be enough to prevent them from ever having power again. Take the wheel...
#BidenHarris2024 
#biden https://t.co/6L6JinGdrp"
"D45","P45","0","Attention #Union  members
Especially the Teamsters who praise trump
Got to remind you Biden saved the pension of 350K of your Teamsters, remember the one Republicans voted against 
#ProudBlue 
#UnionJoe 
#DemsUnited  for #BidenHarris2024"
"D46","P46","0","@VanJones68 its not a mystery why #Trump picked Do that Dance Vance to shake that beard.. watch ya self #GOP #RNC #RNC2024 #Trump2024 #Biden2024 #BidenHarris2024
#RepublicanConvention
#JDVance #AmberRose"
"D47","P47","0","@sloyoroll01973 Im a blue dot in a maga district and Im one of the 46 of White Women who vote like Black Women and #VoteBlue 

#PartyOfThePeople #DemocratsGetItDone #BidenHarris2024 https://t.co/UxcgujREpB"
"D48","P48","0","@BaddCompani We need every Democrat on board every single day up to the Election. Faith in President Biden is so crucial, especially the events that have transpired on the Right.
They want us silenced and encourage the Democrats to have uncertainties in future Elections.
#BidenHarris2024"
"D49","P49","0","Fun Fact: As a few celebrities, public officials, or anyone inexplicably comes out publicly against our candidate Joe Biden  remember their vote counts same as an average American citizen.

THERE ARE MORE OF US THAN THEM.

#AdamSchiff #JerryNadler #RobReiner #BidenHarris2024"
"D50","P50","0","Because, Progressives, if he loses because people dont turn out. You only have yourselves to blame. So either get work to help Biden win or get out of the way #BidenHarris2024 2/2"
"D50","P51","0","Dear left media, 
I dont understand. You claim to be a progressive like myself yet all you have been doing for 3 week is wetting yourselves over a single bad night. Biden is the nominee. So either do your part to help him win or wet yourselves in private.  1/2 #BidenHarris2024"
"D52","P52","0","#BidenHarris2024 #BidenHarrisToSaveDemocracy #Biden2024 #TrumpAssasinationAttempt #trumpstaged #StagedAssassinationAttempt 
#DemocraticParty 

Dear #USA,

We understand it.
Make sure you understand it too.
#NeverTrump 

Love, Canada.

-Halifax Herald, Michael DeAdder, cartoonist- https://t.co/0fAvFqzRuW"
"D53","P53","0","@DCDraino Maybe this will help

@FLOTUS is set to arrive at the Pittsburgh International Airport at 4pm on Saturday. @FLOTUS will speak at an Italian Sons and Daughters of America dinner at 5 p.m.

#DonaldTrump #BidenHarris2024
#Biden2024 #TrumpAssasinationAttempt

https://t.co/Qs3gGtu6MK https://t.co/V0QNbp8Ic0"
"D54","P54","0","Biden is running as the nominee of the Democratic Party Biden Won the primarys Amal Clooney amp George Clooney dont get to change  the nominee because they are elites No one does The voters chose Biden We the people are galvanized behind our President #BidenHarris2024"
"D55","P55","0","@bfitz944 It broke my heart.  And I got so angry because my MAGA fam had just sent out an email about how Biden is murdering babies.  I may have to separate myself from them even more until this is over. #BidenHarris2024"
"D56","P56","0","@johnastoehr #BidenHarris2024      Biden is an excellent President."
"D57","P57","0","If he needs money, we have to do the maga thing and all of Bidens supporters send him money. #BidenHarris2024ToProtectDemocracy"
"D58","P58","0","VERY disappointed in @AndyKimNJ and @RepAdamSchiff 

They need to get on board and support Joe Biden. Period.
#BidenHarris2024 #BidenHarrisToSaveDemocracy"
"D59","P59","0","@hakeemjeffries Not another  to the @dccc until you get you fucking caucus under control. @HouseDemocrats are a disgrace.

@nytimes 
@washingtonpost 
@politico 
@Axiou 
@thereidout 
@Lawrence 
@TheLeadCNN 
#Biden
#BidenHarris2024 
@RepAdamSchiff https://t.co/orX2PSXNOl"
"D60","P60","0","@kenklippenstein 1,253 do not represent 160,000,000 voters.  Biden raised 38 million AFTER the debate 
#BidenHarris2024 https://t.co/eTPVceV6CW"
"D61","P61","0","Lets say Biden wins. Does he step down before the mid-term elections to pass it over to Harris or does he step down after

I could see the GOP using an angry Black woman President to drive out their base in the midterms. 
#BidenHarris2024"
"D62","P62","0","#BidenBoom #BIDEN #BidenHarris2024 #BidenHarrisToSaveDemocracy 

Alright folks, heres your mission. 

Make this viral. Send it to everyone who votes. Send to everyone who thinks Biden is too old or mentally unfit for office. 

LISTEN TO THE PROFESSIONALS
https://t.co/zLhQq6KMq2"
"D63","P63","0","drive the GOP narrative that hes old amp feeble minded instead of showing well thought out amp thorough statements. #BidenHarris2024 #RidingWithBiden"
"D64","P64","0","@RichardAngwin @AdamSchiff #BidenHarris2024ToProtectDemocracy 
#VoteBlue2024ProtectDemocracy 
Adam,you really are a disappointment.  President Biden  has been  exceptional in his first term and will be exceptional in his second."
"D65","P65","0","@thejackhopkins Its what is exasperating about anti Biden Democrats lack of foresight
causing disunity.
#BidenHarris2024"
"D66","P66","0","@CoffeyTimeNews Im sticking with Biden
#BidenHarrisToSaveDemocracy 
#BidenHarris2024 https://t.co/quQeR5Gk6S"
"D67","P67","0","Get to work. If youre anti-Maga, or anti-Trump, then get to work and register voters. Take people to polls, make a plan. Talk to friends and strangers. Educate. Show up Your life amp your families lives depend on it. #BidenHarris2024ToProtectDemocracy https://t.co/zIUsi8NQWi"
"D68","P68","0","@HouseDemocrats @SpeakerPelosi @RepJeffries @SenSchumer Americans are sick amp tired of the Republican Party. Lets come together amp defeat this horrible MAGA menace #BidenHarris2024"
"D69","P69","0","@cornellbelcher My city is an obstacle course of infrastructure projects thanks to @Joebiden.  Thanks old man.  We appreciate it.

#BidenHarris2024"
"D70","P70","0","#BidenHarris2024 #Biden2024 https://t.co/n2TiS5tfkb"
"D71","P71","0","If the gop can somehow rally behind their very bad man and destroyer of a nominee. I think the dems can get behind, stand behind and fully support their very good man and proven producer Joe Biden.
#BidenHarris2024 
Now more than ever."
"D72","P72","0","#StopProject2025. Simply by voting 
For #BidenHarris2024 . Easy. Dont move our years backwards. Our children and their children deserve the same rights weve had all these years.
#TrumpIsNotFitToBePresident"
"D73","P73","0","CLICK TO START 

If you want Democracy and America to win ..
Unite and support President Joe Biden 

Adam Schiff Pelosi Katie Porter  #BidenHarris2024 #BidenHarrisToSaveDemocracy 
#TrumpIsProject2025 https://t.co/deREvZMrkd"
"D74","P74","0","@RepAdamSchiff has just ruined his political career

Biden is not dropping out and Im voting for himI will not be supporting any one, ever again, who calls for him to step aside from this moment forward

#BidenHarris2024"
"D75","P75","0","@ProjectLincoln I turned off cable news 3 months ago  Voting for Biden. #BidenHarris2024 #staythecourse #BidenHarrisToSaveDemocracy "
"D76","P76","0","@WajahatAli F these Russian troll bots, Kamala is in action, has been, and we voted the Biden/Harris ticket in the primary. Anybody that didnt like it could have voted otherwise then. We have our nominees, period. #BidenHarrisToSaveDemocracy 
#BidenIsAGreatPresident 
#BidenHarris2024"
"D77","P77","0","@MSNBC Nah pass.
#BidenHarris2024 all the way.
And @MSNBC need to concentrate on real news like billionaires trying to buy an election by flooding media with anti Biden/proTrump bs and police murdering a guy because of RNC hysteria."
