Id,Name,Gender,Age
R1,Geraldine Speer,M,20
R2,Predato- Trump,M,20
R3,coolguy,M,20
R4,Ron cohen,M,20
R5,chris w,M,20
R6,One Percent Takers,M,20
R7,vpnvpninsvpn,M,20
R8,Michelle,M,20
R9,Tom Suozzi,M,20
R10,TD Opines,M,20
R11,Danny ,M,20
R12,C DOT R,M,20
R13,Geof Hamlin,M,20
R14,Tim Byers,M,20
R15,Thomas Shea,M,20
R16,Gary Greenberg,M,20
R17,Vito,M,20
R18,Dr. X Nova,M,20
R19,JJK,M,20
R20,eu4ria1,M,20
R21,@googeliart.bsky.social ,M,20
R22,Rocky Road,M,20
R23,LA,M,20
R24,Diana O,M,20
R25,The Vin Man,M,20
R26,The Matt McNeil Show,M,20
R27,Nolan Benedict,M,20
R28,Tango,M,20
R29,IncognitoNewt,M,20
R30,Doc Dayz,M,20
R31,"Vote Biden to save our democracy,our Freedoms",M,20
R32,John Martinlives,M,20
R33,Robin Messing,M,20
R34,don roberts,M,20
R35,DJ mellofello,M,20
R36,James Barnfield,M,20
R37,Joe Pugh,M,20
R38,Denise,M,20
R39,Johnny Freedom,M,20
R40,DAPPER DON DHARSHI  K A M I L ,M,20
R41,TheResistance,M,20
R42,Puppy,M,20
R43,Dan Schaefer,M,20
R44,Biggest,M,20
R45,Bo Snerdley,M,20
R46,BarrosLuco,M,20
R47,New York LI Republican ,M,20
R48,robjceo,M,20
R49,FloridaSandy,M,20
R50,Daisy Vance,M,20
R51,Yourconscience,M,20
R52,Miketvee13,M,20
R53,   NewsCat NO DMs   ,M,20
R54,Sanity Lane,M,20
R55,w.o.,M,20
R56,andrew March,M,20
R57,    ,M,20
R58,FormerRepublican,M,20
R59,Satsuki Hime,M,20
R60,Robert Howell ,M,20
R61,Bryan Castillo DC51st,M,20
R62,Amien,M,20
R63,paul worth,M,20
R64,Irving Pine,M,20
R65,superdavebeastula,M,20
R66,Oregon Republican ,M,20
R67,drainpipe,M,20
R68,Doc1323,M,20
R69,Tom Odell,M,20
R70,305Jits,M,20
R71,VERTEDERO,M,20
R72,John,M,20
R73,Mr. Deplorevole Disgraziato.,M,20
R74,Curly Bill Brocius,M,20
R75,Freedom of Speech ,M,20
R76,EnlightenedPaddy,M,20
R77,American Outlaw ,M,20
R78,KylieB,M,20
R79,The Drunk Republican,M,20
R80,Senga,M,20
R81,Greg,M,20
R82,Wondermentalista ,M,20
R83,Michelle4Flirt,M,20
R84,nuked350,M,20
R85,Byron Perkins,M,20
R86,"Erick Hayden, CEO",M,20
R87,ShawneesMan,M,20
R88,JohnCT/FL,M,20
R89,e,M,20
R90,Proud Latina Republican,M,20
R91,Andrew McAdoo,M,20
R92,Deborah Tilden,M,20
R93,Jeep guy,M,20
R94,Thomas Consolo,M,20
R95,Carolyn Sutton,M,20
R96,jade,M,20
R97,AKA DeeK,M,20
R98,FreedomFighter,M,20
R99,CommonSenseWA ,M,20
R100,Lisa Miller,M,20
R101,Rebecca Taylor,M,20
R102,Gtmag10,M,20
R103,D Osborne,M,20
R104,Booker G. Washington,M,20
R105,River Jensen,M,20
R106,Holly,M,20
R107,Carson Carpenter,M,20
R108,The Masterclass,M,20
R109,Donna ,M,20
R110,Onika Tanya Maximoff ,M,20
R111,House of Fire and Blood,M,20
R112,VFG Movie Reviews,M,20
R113,MAD LIB,M,20
R114,Cuddles Doctor G,M,20
R115,Gregor Hast ,M,20
R116,THM,M,20
R117,R Thomas Behnke,M,20
R118,Oso Republicano,M,20
R119,NY Persona Fans who are Republican Caucus ,M,20
R120,Kal - Lets make character matter again.,M,20
R121,VOTE  ,M,20
R122,Susan,M,20
R123,David Jonny Locke,M,20
R124,Ungovernable ,M,20
R125,Arguably Wrong,M,20
R126,Janey Kopecky,M,20
R127,Mary Jane Anderson,M,20
R128,LoveLucy ,M,20
R129,in their way,M,20
R130,Kara Dreamer,M,20
R131,THANK YOU MR. MUSK,M,20
R132,Mike Heffernan,M,20
R133,Em Cohen gazafunds.com,M,20
R134,Linda Greene,M,20
R135,Hannahlehigh,M,20
R136,TheBlueEyesWhiteAccountantCard,M,20
R137,stkbacca@att.net,M,20
R138,Sammy Marble,M,20
R139,Terry MAGA,M,20
R140,E-MOW-G,M,20
R141,Snap Crackel and Pop 86,M,20
R142,Ritch Barron,M,20
R143,Dont tread on me,M,20
R144,Richland County Democratic Party,M,20
R145,Jay Rogers ,M,20
R146,Daniel Bragg,M,20
R147,Florida Federation of Republican Women FFRW,M,20
R148,Your Independent Voice,M,20
R149,Mike Garcia Stan,M,20
R150,TIM Ray,M,20
R151,Shari,M,20
R152,DM,M,20
R153,ForAmerica,M,20
R154,Vindex,M,20
R155,DADDIEK,M,20
R156,Darth Vexitus,M,20
R157,John Arnold,M,20
R158,The Angry Patriot,M,20
R159,Jahhh,M,20
R160,Mary Miller Stan,M,20
R161,amerikanexile,M,20
R162,Russ,M,20
R163,Dave Hale - Concerned Republican,M,20
R164,Stephanie Dennis,M,20
R165,Dr. AJ Chrysanthemum,M,20
R166,BELLADONNA SAYS...,M,20
R167,Robert Watkins,M,20
R168,ZBreakingNewz,M,20
R169,"Son of David, Servant of The Most High",M,20
R170,Calicocaleb,M,20
R171,Jim Sheehy,M,20
R172,Kintaro.03,M,20
R173,WomensRights,M,20
R174,Forsyth County Republican Party,M,20
R175,Joe mama,M,20
R176,AJ Kerbel Disabled Republican Vote Red,M,20
R177,Robert MacIntosh,M,20
R178,Sherman Putterman,M,20
R179,Sen Kennedy ,M,20
R180,LeikusOrNot ,M,20
R181,MichaelUSA20 ,M,20
R182,Spunky0613,M,20
R183,Susan R,M,20
R184,Harry Burnsworth,M,20
R185,Marly Z Jurado,M,20
R186,Republican Anarchist Caucus ,M,20
R187,Ernest Reyes,M,20
R188,Karl Noel,M,20
R189,Shade Phosphorus,M,20
R190,Austin 2.0,M,20
R191,Tyrion Lannister - Hand of the King,M,20
R192,sam,M,20
R193,Jose Hernandez,M,20
R194,Pam Adkisson,M,20
R195,Grateful American MAGA/MAHA/DOGE,M,20
R196,Alfred C. Martino,M,20
R197,Jose Ortal,M,20
R198,The Dave,M,20
R199,MorningMorning,M,20
R200,Domestic Terrorist Grandma,M,20
R201,Country Girl,M,20
R202,anordinaryperson,M,20
R203,Eric Mrozek ,M,20
R204,Wehriskat ,M,20
R205,Binturong,M,20
R206,MarkEMark,M,20
R207,Jonathan P. Henderson,M,20
R208,George Wept,M,20
R209,Postal Sage,M,20
R210,karenhecht81@aol.com,M,20
R211,Magsfolly,M,20
R212,Kric ,M,20
R213,Alex Jones Cat,M,20
R214,Dr. Christina Johns,M,20
R215,Bear,M,20
R216,Ace,M,20
R217,Freedom is not free,M,20
R218,Kimberly Ferguson,M,20
R219,Sharon.,M,20
R220,Grumpy Old Al,M,20
R221,@MemphisGators58,M,20
R222,Steven Kale,M,20
R223,W.  Pro Israel Reagan Republican,M,20
R224,Voss749,M,20
R225,pascal molineaux,M,20
R226,Not Ryan,M,20
R227,CharlesinCT,M,20
R228,Drew Petersen: ANTIFA Director sarcasm you hope,M,20
R229,Immigrant Gay Republican ,M,20
R230,ClassicConservative ,M,20
R231,WayBeyond1984,M,20
R232,Ella R. Hall,M,20
R233,MBrooks,M,20
R234,Robert Davi,M,20
R235,Electric Sheep,M,20
R236,Virgilio Abueva,M,20
R237,kevinandre,M,20
R238,Brad Cummings,M,20
R239,Michelle,M,20
R240,Mike Thomas,M,20
R241,Robbie Sherwood,M,20
R242,Mountainstrong,M,20
R243,Vesper X,M,20
R244,tmckay,M,20
R245,Anti-MAGA Coalition ,M,20
R246,Super Bikino,M,20
R247,prydaone,M,20
R248,Kyle Schumann,M,20
R249,Suzanne Hoskins,M,20
R250,Gerald P,M,20
R251,Phoebej Vote out every last damn Republican ,M,20
R252,Doug Smith,M,20
R253,"Mark, Choose Kindness",M,20
R254,ang Pea,M,20
R255,LulabelleBlue ,M,20
R256,Sara  PETA KILLS,M,20
R257,"Dennis, Actual Antifascist",M,20
R258,Brad Connolly,M,20
R259,JoeyBonanno,M,20
R260,On the Cusp,M,20
R261,@RPh,M,20
R262,adrian f samuel,M,20
R263,Zachary Johnson,M,20
R264,Jack Brady,M,20
R265,LUHTF,M,20
R266,Edwin Madrigal,M,20
R267,JusPlainTalk101,M,20
R268,mary elizabeth,M,20
R269,JoeMomma,M,20
R270,Rick B,M,20
R271,Robert,M,20
R272,News World Wide,M,20
R273,Matheus Bonatto,M,20
R274,Mary D,M,20
R275,Guyjustin,M,20
R276,Mark Greko ,M,20
R277,TECH1,M,20
R278,NoCal.Chris,M,20
R279,Roe 70,M,20
R280,Izaskun Astoreka Lizarralde yes,M,20
R281,Brad38,M,20
R282,Gay Republican,M,20
R283,Paul DeAngelo,M,20
R284,JoltusManus,M,20
R285,John NHS FBPE TORYLIARS   ,M,20
R286,Draft Environmental Impact Report,M,20
R287,Republican Dave Roberts Fan,M,20
R288,Drew Bradsha,M,20
R289,ShadyJD,M,20
R290,John Ellis,M,20
R291,CAP1023,M,20
R292,Jim braselton,M,20
R293,Matt Bevan,M,20
R294,Greek,M,20
R295,Zap,M,20
R296,Avatar  @backavatar on ,M,20
R297,Tim Little,M,20
R298,Einsteins Daddy,M,20
R299,Cosmic Cowboy,M,20
R300,Capt. Gnarly,M,20
R301,OnlyPunsCEO,M,20
R302,A K,M,20
R303,Donnia,M,20
R304,Robin Newton,M,20
R305,Arthur Bloom,M,20
R306,-livier-,M,20
R307,Banks arent too big to fail,M,20
R308,Matthew Case,M,20
R309,Douglas Godfrey,M,20
R310,Anthony Terlizzi,M,20
R311,Jim Girard,M,20
R312,Lisa Freedman,M,20
R313,Chris Todd,M,20
R314,DeeF,M,20
R315,Marlene Lundquist,M,20
R316,CantSilenceBusbee,M,20
R317,Morons Are Governing America - Fascism is here,M,20
R318,Enzo the Baker,M,20
R319,Donna Yost,M,20
R320,Toby Tartaglione ,M,20
R321,JimBob McBoatFace,M,20
R322,Michael Fulmer,M,20
R323,Saras Politics,M,20
R324,Alex Vassar ,M,20
R325,Adil Haque,M,20
R326,Resolutely Sane,M,20
R327,jeremy,M,20
R328,deleted,M,20
R329,Jon Ralston,M,20
R330,Jumbo Elliott,M,20
R331,Norma mcdonald,M,20
R332,Frank White,M,20
R333,phil,M,20
R334,Matthew Bell,M,20
R335,Noah Formica,M,20
R336,sb17,M,20
R337,Florida Jolt,M,20
R338,Connie Dodson,M,20
R339,Casual LavaringX ,M,20
R340,Richard Pierce,M,20
R341,Chief,M,20
R342,Shut Up Drew,M,20
R343,cass,M,20
R344,Republican Politics Enjoyer,M,20
R345,CompassDrifter,M,20
R346,Andy Hough,M,20
R347,Harrison Blackburn,M,20
R348,Heavenly Motherr ,M,20
R349,Andy Anderson,M,20
R350,Stank McNasty,M,20
R351,Michael Burke,M,20
R352,Ultra MAGA Republican,M,20
R353,RN- prolife-Republican-100 Italian-,M,20
R354,Yeshua,M,20
R355,nick fierro,M,20
R356,AL Khammas,M,20
R357,Christopher Dowling,M,20
R358,Vicky Falls,M,20
R359,Matt,M,20
R360, POWER 2024 ,M,20
R361,Cynthia,M,20
R362,Andy,M,20
R363,Patricia,M,20
R364,Keith Miskie,M,20
R365,Jennifer Scott ,M,20
R366,D notabot s New Pic AKA Duckie ,M,20
R367,Opinionated Times,M,20
R368,TrueLiberal,M,20
R369,Dub Bwyer,M,20
R370,Kathy Cheperka,M,20
R371,Ricky Mac,M,20
R372,Sealtori,M,20
R373,Victoria Brownworth,M,20
R374,Jo Nomas,M,20
R375,G-LANT,M,20
R376,WeCannotBeSilent ,M,20
R377,Joanne Graves,M,20
R378,Vinny Machado,M,20
R379,Kvitka ,M,20
R380,American Eagle ,M,20
R381, Lauren Ashley Davis - OG Meidas Might ,M,20
R382,Domnic,M,20
R383,JDB,M,20
R384,The Cuban Dude,M,20
R385,old crank,M,20
