PersonID,Atom1,Atom2
1,who,feel
1,seem,week
1,help,most
1,million,way
1,must,ask
1,give,use
1,as,study
1,most,the
1,part,all
1,much,let
1,some,few
1,back,book
1,new,new
1,feel,too
1,many,bring
1,as,high
1,move,before
1,night,room
1,such,one
1,his,even
1,week,hold
1,group,great
1,believe,under
1,hear,play
1,American,that
1,big,his
1,during,too
1,again,these
1,story,very
1,why,like
1,over,question
1,put,very
1,may,while
1,company,always
1,something,other
1,last,few
1,these,believe
1,find,use
1,want,those
1,here,American
1,money,leave
1,new,another
1,during,find
1,day,will
1,woman,between
1,hear,one
1,work,him
1,room,after
1,must,into
1,believe,not
1,what,and
1,with,back
1,big,them
1,many,this
1,there,put
1,case,other
1,live,write
1,part,woman
2,say,study
2,some,woman
2,during,never
2,over,good
2,life,work
2,money,child
2,must,tell
2,hear,those
2,for,say
2,call,school
2,there,when
2,system,mean
2,want,take
2,than,when
2,Mr,well
2,our,any
2,hand,place
2,must,but
2,why,bring
2,American,national
2,then,from
2,make,week
2,always,now
2,out,these
2,mean,question
2,against,might
2,national,bring
2,out,because
2,must,point
2,call,government
2,find,eye
2,thing,job
2,its,high
2,most,back
2,keep,might
2,can,two
2,there,this
2,would,should
2,what,country
2,well,good
2,good,under
2,between,who
2,seem,look
2,area,time
2,government,government
2,will,while
2,young,might
2,story,day
2,his,any
3,always,between
3,country,each
3,book,even
3,high,the
3,system,not
3,time,old
3,really,million
3,this,job
3,you,man
3,man,time
3,seem,his
3,many,fact
3,why,million
3,those,different
3,let,case
3,while,money
3,off,Mr
3,her,than
3,give,look
3,same,off
3,can,high
3,here,young
3,different,would
3,year,during
3,school,them
3,government,good
3,back,Mr
3,before,who
3,night,place
3,most,happen
4,not,question
4,she,different
4,come,few
4,new,keep
4,live,much
4,she,why
4,out,each
4,well,know
4,people,people
4,more,with
4,help,same
4,tell,same
4,like,all
4,national,time
4,where,other
4,become,know
4,year,say
4,case,here
4,want,home
4,also,believe
4,high,only
4,call,back
4,student,move
4,how,work
4,any,school
4,play,three
4,small,year
4,hand,your
4,there,which
4,feel,American
4,many,their
4,ask,government
4,with,never
4,show,then
4,its,again
4,become,some
4,any,over
4,know,under
4,child,think
5,many,number
5,bring,also
5,each,from
5,next,work
5,through,become
5,off,down
5,right,with
5,run,right
5,them,same
5,would,must
5,want,under
5,hold,problem
5,child,help
5,take,see
5,home,feel
5,her,Mr
5,why,company
5,where,make
5,million,national
5,student,his
5,will,job
5,from,when
5,happen,mother
5,national,there
5,three,work
5,two,think
5,look,through
5,only,not
5,because,money
5,help,see
5,before,after
5,just,man
5,move,come
5,get,small
5,this,many
5,leave,over
5,think,find
5,different,her
5,turn,month
5,study,talk
